Transaction ID,Date,Time,Type,Name,Emoji,Category,Amount,Currency,Local amount,Local currency,Notes and #tags,Address,Receipt,Description,Category split,Money Out,Money In
tx_0000AuFUUzPlQ4r0KT3h2Z,19/05/2025,10:22:51,Card payment,Transport for London,🚆,Transport,-9.50,GBP,-9.50,GBP,"Travel charge for Sunday, 18 May",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-9.50,
tx_0000AuFyE6MLLK0hUnZPZk,19/05/2025,15:55:57,Faster payment,Tribo Technologies Ltd,,Income,47.94,GBP,47.94,GBP,Bubble,,,Bubble,,,47.94
tx_0000AuG1ELI08LHCaKeWpe,19/05/2025,16:29:36,Faster payment,MDSR Ferreira,,General,-5.00,GBP,-5.00,GBP,Open,,,Open,,-5.00,
tx_0000AuG1Ft0GGu8KNUibuz,19/05/2025,16:29:53,Monzo-to-Monzo,Marina Roque & Martin Harvey,,Transfers,-10.00,GBP,-10.00,GBP,,,,,,-10.00,
tx_0000AuG526I4TMe0W0sCUz,19/05/2025,17:12:13,Card payment,Caffè Nero,☕,Eating out,-4.95,GBP,-4.95,GBP,,Nelson Road,,CAFFE NERO HEATHROW T3 HOUNSLOW      GBR,,-4.95,
tx_0000AuG7U2bFzHV8E4XXhR,19/05/2025,17:39:41,Card payment,Transport for London,🚆,Transport,-1.75,GBP,-1.75,GBP,"Travel charge for Monday, 19 May","Windsor House, 42-50 Victoria Street",,TfL Travel Charge      TFL.gov.uk/CP GBR,,-1.75,
tx_0000AuGHRSSIOrUWoUPGnB,19/05/2025,19:31:16,Card payment,Waitrose & Partners,🍏,Groceries,-5.00,GBP,-5.00,GBP,,25 Coombe Ln,,WAITROSE               LONDON        GBR,,-5.00,
tx_0000AuHF2Slq5MN4Gs2xcI,20/05/2025,06:39:03,Pot transfer,1p Saving Challenge Pot,,Savings,-1.21,GBP,-1.21,GBP,Day 121 of 365,,,,,-1.21,
tx_0000AuJKzDOBnxto0Eti4p,21/05/2025,06:55:07,Pot transfer,1p Saving Challenge Pot,,Savings,-1.22,GBP,-1.22,GBP,Day 122 of 365,,,,,-1.22,
tx_0000AuJZZ0JNIrskCVc3HN,21/05/2025,09:38:27,Card payment,McDonald’s,🍔,Eating out,-4.99,GBP,-4.99,GBP,,77/83 High Street,,MCDONALDS              NEW MALDEN    GBR,,-4.99,
tx_0000AuLRDQKpSRKlFQ4VPN,22/05/2025,07:14:20,Pot transfer,1p Saving Challenge Pot,,Savings,-1.23,GBP,-1.23,GBP,Day 123 of 365,,,,,-1.23,
tx_0000AuLgIjGG14905LZp0U,22/05/2025,10:03:22,Card payment,Transport for London,🚆,Transport,-1.75,GBP,-1.75,GBP,"Travel charge for Wednesday, 21 May",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-1.75,
tx_0000AuNU8tGV9lrCYbXvRB,23/05/2025,06:56:33,Pot transfer,1p Saving Challenge Pot,,Savings,-1.24,GBP,-1.24,GBP,Day 124 of 365,,,,,-1.24,
tx_0000AuS7VOOCn99CNvbyCX,25/05/2025,12:36:27,Pot transfer,1p Saving Challenge Pot,,Savings,20.00,GBP,20.00,GBP,,,,,,,20.00
tx_0000AuS9kRi8vMC6dKBjFZ,25/05/2025,13:01:35,Card payment,Morrisons,🍏,Groceries,-2.75,GBP,-2.75,GBP,,51 The Broadway,,W M MORRISON STORE     LONDON        GBR,,-2.75,
tx_0000AuSA4OiblBDrpTazfF,25/05/2025,13:05:12,Card payment,ODEON,🎥,Entertainment,-4.94,GBP,-4.94,GBP,,39 The Crescent,,Odeon Wimbledon        London        GBR,,-4.94,
tx_0000AuSNZtr9L4mUVU8CIr,25/05/2025,15:36:33,Card payment,Greggs,🥖,Eating out,-5.65,GBP,-5.65,GBP,,36 Coombe Lane,,GREGGS                 RAYNES PK     GBR,,-5.65,
tx_0000AuTVYfbfpL3TBS7K7P,26/05/2025,04:40:41,monzo_paid,,,Bills,-3.00,GBP,-3.00,GBP,,,,Extra,,-3.00,
tx_0000AuTjRHAHhWlLo6WflT,26/05/2025,07:16:13,Pot transfer,1p Saving Challenge Pot,,Savings,-1.27,GBP,-1.27,GBP,Day 127 of 365,,,,,-1.27,
tx_0000AuU0tgbyNozxv9lyvB,26/05/2025,10:31:50,Card payment,Transport for London,🚆,Transport,-1.75,GBP,-1.75,GBP,"Travel charge for Sunday, 25 May",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-1.75,
tx_0000AuVBHIGBlYL1O6nkZt,27/05/2025,00:02:52,Card payment,Transport for London,🚆,Transport,0.10,GBP,0.10,GBP,,,,TfL Unpaid Fares       TFL.gov.uk/CP GBR,,,0.10
tx_0000AuW4D6iIFWsoZJLNnV,27/05/2025,10:18:23,Card payment,Transport for London,🚆,Transport,-3.50,GBP,-3.50,GBP,"Travel charge for Monday, 26 May",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-3.50,
tx_0000AuWzWnyjJFvnkWtWkL,27/05/2025,21:00:38,Pot transfer,1p Saving Challenge Pot,,Savings,10.00,GBP,10.00,GBP,,,,,,,10.00
tx_0000AuXrn5b4y1UKHBIe1a,28/05/2025,07:08:39,Pot transfer,1p Saving Challenge Pot,,Savings,-1.29,GBP,-1.29,GBP,Day 129 of 365,,,,,-1.29,
tx_0000AuY1oEFhGw9RhrHnlp,28/05/2025,09:00:54,Card payment,Caffè Nero,☕,Eating out,-2.25,GBP,-2.25,GBP,,127-143 Borough High Street,,CAFFE NERO BOROUGH HIG LONDON        GBR,,-2.25,
tx_0000AuYC1ZDFeT5TTIMVOc,28/05/2025,10:55:22,Card payment,M&S,🛍 ,Shopping,-1.15,GBP,-1.15,GBP,,RETAIL UNIT 21,,MARKS&SPENCER PLC SF   BANKSIDE      GBR,,-1.15,
tx_0000AuYXt2MY6LkqQSF1Sj,28/05/2025,15:00:20,Card payment,Greggs,🥖,Eating out,-1.35,GBP,-1.35,GBP,,36 Coombe Lane,,GREGGS                 RAYNES PK     GBR,,-1.35,
tx_0000AuZwuy0bx4vLyXwvyL,29/05/2025,07:15:31,Pot transfer,1p Saving Challenge Pot,,Savings,-1.30,GBP,-1.30,GBP,Day 130 of 365,,,,,-1.30,
tx_0000AueQjGwRVcAxqxeMnR,31/05/2025,11:08:24,Card payment,Transport for London,🚆,Transport,-3.50,GBP,-3.50,GBP,"Travel charge for Friday, 30 May",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-3.50,
tx_0000AueQnqRlRYi9cPAu1a,31/05/2025,11:09:13,Pot transfer,1p Saving Challenge Pot,,Savings,30.00,GBP,30.00,GBP,,,,,,,30.00
tx_0000AufFPM5Nlik0tQ2GXK,31/05/2025,20:36:15,Monzo-to-Monzo,Luana Costa,,General,70.00,GBP,70.00,GBP,Perdoa sua amiga pobre 😂,,,,,,70.00
tx_0000AufRVkw9U5XsMr7lze,31/05/2025,22:51:52,Faster payment,Marina Roque,,Transfers,-47.00,GBP,-47.00,GBP,T1563449383,,,T1563449383,,-47.00,
